name,desc
City street,urban outdoor street environment
Suburban neighborhood,residential street environment
Downtown plaza,public square environment
Park walkway,outdoor green pathway
Forest trail,nature wooded path
Beach shoreline,coastal outdoor scene
Mountain overlook,high-altitude scenic location
Desert dunes,arid barren landscape
Rainy alley,moody urban alleyway
Snowy hillside,winter outdoor landscape
Living room,home interior
Kitchen interior,home cooking area
Bedroom interior,home sleeping area
Home office,remote work environment
Modern office,corporate workplace
Boardroom,executive meeting room
Classroom,educational setting
Library quiet room,study environment
Hospital hallway,medical environment
Laboratory interior,science environment
Train station platform,transportation hub
Subway interior,underground transit setting
Airport gate area,air travel waiting area
Airplane cabin,passenger seating environment
Bus interior,public transport interior
Café counter,coffee shop environment
Restaurant dining room,food service environment
Supermarket aisle,retail environment
Shopping mall corridor,commercial walkway
Warehouse industrial floor,large work environment
Construction site,active labor environment
Gym workout area,fitness interior
Recording studio,audio production space
Photo studio backdrop,controlled studio space
Theater stage,performance environment
Art museum gallery,exhibit environment
Rooftop terrace,urban elevated environment
Sci-fi spaceship corridor,futuristic metallic hallway
Sci-fi control room,futuristic command center
Virtual holodeck,digital simulated environment
