name,desc
studio white,flat seamless white background
studio gray,flat seamless gray background
studio black,flat seamless black background
solid blue,flat monochrome blue background
solid green,flat monochrome green background
solid red,flat monochrome red background
solid yellow,flat monochrome yellow background
soft gradient blue,subtle atmospheric gradient
soft gradient pink,soft blended color wash
soft gradient teal,dim cool-toned gradient
blue chroma,seamless blue chroma screen
green chroma,seamless green chroma screen
white chroma,seamless white chroma screen
white screen,seamless pure white compositing backdrop
brick wall urban,exterior textured wall
concrete wall industrial,urban industrial surface
wood panel interior,warm material background
tile wall clean,geometric tiled background
fabric backdrop draped,textile studio material
paper backdrop roll,smooth studio sweep
foggy atmosphere,light atmospheric diffusion
dusty haze,low-contrast hazy ambience
spotlight dramatic,studio lighting emphasis
neon glow backdrop,colorful futuristic glow field
starfield galaxy,space-themed background
sci-fi metallic wall,futuristic interior plating
sci-fi energy chamber,glowing sci-fi environment
glass atrium interior,bright architectural space
elevator interior,compact metallic environment
tunnel perspective,deep vanishing point tunnel
parking garage interior,industrial concrete space
warehouse shelving,industrial storage environment
suburban street exterior,outdoor residential block
city skyline distant,distant urban view
mountain range distant,distant scenic landscape
sunset horizon warm,warm-toned horizon
misty forest depth,soft ambient forest view
abstract color wash,minimal vibrant environment
geometric shapes abstract,modern abstract background
minimal vignette spotlight,clean darkened focus
