name,desc
standing still, weight shifted relaxed stance
sitting casually, slouched slightly one leg extended
walking forward, mid-stride arms swinging wide
running, leaning into a sprint head down
jumping upward, caught mid-air knees tucked
looking upward, shielding eyes with hand gazing up
looking downward, chin tucked gaze lowered thoughtfully
looking to the side, frozen mid-turn heel lifted
arms crossed, arms loosely folded leaning back
hands on hips, one hand on hip weight offset
pointing forward, arm extended finger tracking
waving, hand raised high captured mid-wave
holding an object, fingers adjusting grip on item
reading a book, page half-turned eyes scanning
typing on a laptop, fingers moving fast eyes focused
talking on a phone, phone pressed to ear hand gesturing
drinking from a cup, cup tilted caught mid-sip
eating a snack, hand halfway to mouth casual grip
taking a selfie, arm extended high chin angled down
gesturing while speaking, hands mid-gesture palms open
smiling warmly, caught mid-laugh eyes crinkled
serious expression, jaw set eyes focused ahead
surprised expression, recoiling slightly chin tucked
expressing excitement, hands raised beaming smile
carrying a bag, shoulder dipped under weight of bag
holding a toolbox, hefting toolbox adjusting balance
operating machinery, hand on lever body braced
lifting a box, knees bent bracing for lift
examining equipment, leaning in close examining surface details
meditating seated, spine straight hands resting loosely
stretching arms, arms extended high back arched
dancing casually, caught mid-spin arms loose
posing for a portrait, chin tilted up shoulders angled
interacting with a hologram, reaching out fingers spread wide
resting/exhausted, leaning forward hands bracing on knees
waiting/impatient, shifting weight from foot to foot restless
startled/ducking, ducking slightly shoulders hunched
stumbling, stumbling forward arms windmilling
leaning, slumping against a wall one leg bent
stiff/sore, stretching neck head tilted to side
